wise_designation,obs_sdss_ra,obs_sdss_dec,obs_psfmag_i,obs_tel,obs_date,obs_obs,obs_instrument,obs_class1,obs_class2,obs_z,obs_specfile,target,comment,ELQS_target,PS_ELQS_target,PS_ELQS_target_old
J001849.84+281048.6,4.70779442,28.18015988,17.97022246,VATT,171109,"Schindler, Huang",VattSpec,STAR,G,-999.0,J0018+2810,,,,,old_priority_3
J002027.08-184400.8,5.11284117,-18.73360236,18.30538016,SOAR,171008,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.765,J0020-1844,,,,priority_3,old_priority_3
J002435.37+020648.4,6.147361699,2.113453593,17.428179999999998,VATT,171110,"Schindler, Huang",VattSpec,QSO,QSO,2.78,J0024+0206,,,primary,,
J002448.24+081212.0,6.200994002000001,8.203341215,16.97706,BOK,161115,"Betsy Green, Jan-Torge Schindler, Yun-Hsin Huang",B&C,QSO,QSO,3.34,J0024+0812,ELQS,,primary,,
J002458.51-102407.1,6.24376607,-10.40202174,18.4577136,SOAR,171010,"Schindler, Yue",GoodmanHTS,GALAXY,UNID,-999.0,J0024-1024_a,,,,,old_priority_3
J002526.82-014532.5,6.361829892,-1.7590312959999999,18.0914,VATT,151011,"Jennifer Kadowaki, Ya-Lin Wu, Jan-Torge Schindler",VATTSpec,QSO,QSO,5.04,csdbimg0013.0001.fits,,,,,
J002553.59+240845.7,6.472336827,24.14623084,17.53417,BOK,161115,"Betsy Green, Jan-Torge Schindler, Yun-Hsin Huang",B&C,NOTQSO,UNID,-999.0,J0025+2408,ELQS,,primary,,
J002725.65-264431.9,6.85687818,-26.74222311,17.93311684,SOAR,171008,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.005,J0027-2644,,,,priority_3,old_priority_3
J003003.20+341734.9,7.513351591,34.29301411,17.41459,BOK,161013,"Betsy Green, Jan-Torge Schindler",B&C ,QSO,QSO,0.19399999999999998,J0030+3417,ELQS,,secondary,,
J003018.57-004827.8,7.57711283,-0.80760571,19.75799942,SOAR,180604,Schindler,GoodmanHTS,NOTQSO,UNID,-999.0,J0030-0048,Highz_Lukas,,,,
J003218.35+073832.5,8.076513047,7.642389692,17.5194,VATT,171110,"Schindler, Huang",VattSpec,QSO,QSO,3.28,J0032+0738,,,primary,,
J003308.14+164404.3,8.283990082,16.73468997,17.769679999999997,MMT,171021,Schindler,RedChannel,STAR,G,-999.0,J0033+1644_a,,,primary,,old_priority_3
J003528.88+033730.2,8.870375113,3.6251051060000004,18.56796,VATT,151012,"Jennifer Kadowaki, Ya-Lin Wu, Jan-Torge Schindler",VATTSpec,UNID,UNID,-999.0,csdbimg0007.0001.fits,,,,,
J003537.25-054655.8,8.905200593,-5.782137069,17.873170000000002,VATT,171112,"Schindler, Huang",VattSpec,REOBS,QSO,2.9,J0035-0546_a,,,,,
J003811.08+364003.8,9.546188243,36.66776265,17.419829999999997,VATT,151010,"Jennifer Kadowaki, Ya-Lin Wu, Jan-Torge Schindler",VATTSpec,QSO,QSO,3.48,J0038+3640,ELQS,,primary,,
J003856.98-292224.3,9.73744597,-29.37345288,17.34994523,SOAR,180124,Schindler,GoodmanHTS,QSO,BAL,2.27,J0038-2922_a,,reobserved,,priority_1,old_priority_1
J003901.10-214429.1,9.754590562999999,-21.74145396,17.962,MMT,171021,Schindler,RedChannel,QSO,BAL,3.03,J0039-2144,,,primary,,
J004010.33+265257.6,10.04299222,26.88281637,17.8459,VATT,171110,"Schindler, Huang",VattSpec,QSO,QSO,3.26,J0040+2652_a,,,primary,,
J004021.73-033451.3,10.09056027,-3.580933603,17.43293,VATT,161122,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,QSO,QSO,3.3,J0040-0334,ELQS,,primary,,
J004111.98-171602.6,10.29995508,-17.26745106,17.99774674,SOAR,171009,"Schindler, Yue",GoodmanHTS,NOTQSO,UNID,-999.0,J0041-1716,,,,,old_priority_3
J004333.69+395651.6,10.89041786,39.94768393,15.72657,VATT,151010,"Jennifer Kadowaki, Ya-Lin Wu, Jan-Torge Schindler",VATTSpec,STAR,MV,-999.0,sdbimg0004.0001.fits,,,,,
J004346.82-111702.0,10.94516922,-11.28390418,17.41227672,SOAR,171007,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.48,J0043-1117,,,,priority_2,old_priority_2
J004404.33+332347.8,11.01806037,33.3966278,17.22622,VATT,171111,"Schindler, Huang",VattSpec,QSO,QSO,2.82,J0044+3323_a,,,primary,,
J004431.52+422407.6,11.130791499999999,42.40212465,17.46272,VATT,161122,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,STAR,K,-999.0,J0044+4224,ELQS,,secondary,,
J004645.87+233030.0,11.69121178,23.50831669,17.82620939,VATT,171109,"Schindler, Huang",VattSpec,QSO,QSO,3.03,J0046+2330,,,primary,priority_3,old_priority_3
J004649.28+392618.5,11.70577857,39.43844913,18.13194001,MMT,171021,Schindler,RedChannel,STAR,K,-999.0,J0046+3926,,,,priority_4,old_priority_4
J004745.37-250837.4,11.93901444,-25.14380093,16.83171871,SOAR,171007,"Schindler, Yue",GoodmanHTS,NOTQSO,UNID,-999.0,J0047-2508,,,,priority_2,old_priority_2
J004813.83+414148.5,12.05708264,41.69649315,16.98699,VATT,161122,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,STAR,K,-999.0,J0048+4141,ELQS,,secondary,,
J004849.49+383116.7,12.20624853,38.52131387,17.86366,MMT,171020,Schindler,RedChannel,QSO,BAL_CHECKZ,-999.0,J0048+3831_a,,,primary,,
J005159.62+013803.5,12.99846279,1.63430809,18.35548,VATT,151012,"Jennifer Kadowaki, Ya-Lin Wu, Jan-Torge Schindler",VATTSpec,UNID,UNID,-999.0,sdbimg0008.0001.fits,,,,,
J005248.64+215325.7,13.20262797,21.89048322,17.95407,NOT,170825,Fynbo,-,QSO,QSO,3.39,J0052+2153,ELQS,,primary,,
J005454.68+261006.5,13.72777688,26.16848315,17.966720000000002,VATT,161123,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,NOTQSO,UNID,-999.0,J0054+2610,ELQS,,secondary,,
J005515.84-145915.4,13.81602005,-14.98764011,18.39008926,SOAR,171008,"Schindler, Yue",GoodmanHTS,QSO,QSO,4.2,J0055-1459,,,,priority_3,old_priority_3
J005542.49-061411.8,13.92710133,-6.236663377999999,18.523120000000002,MMT,151201,"Qian Yang, Jan-Torge Schindler",RedChannelSpectrograph,QSO,QSO,3.39,J0055-0614,ELQS,,secondary,,
J010049.23-031913.9,15.20518882,-3.32053606,17.29276,VATT,161123,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,QSO,QSO,3.44,J0100-0319,ELQS,,primary,,
J010248.76-200728.6,15.70320597,-20.12463916,18.32165357,SOAR,171010,"Schindler, Yue",GoodmanHTS,QSO,BAL,3.71,J0102-2007,,,,priority_4,old_priority_4
J010305.49-244925.3,15.77292063,-24.82368172,17.77483944,SOAR,180122,Schindler,GoodmanHTS,QSO,QSO,3.865,J0103-2449_a,,reobserved,,priority_3,old_priority_3
J010318.07-130510.2,15.82531234,-13.08616298,17.22497175,SOAR,171007,"Schindler, Yue",GoodmanHTS,QSO,QSO,4.065,J0103-1305,,,,priority_1,old_priority_1
J010318.32+341629.6,15.82665068,34.27456501,17.37343,VATT,161122,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,STAR,K,-999.0,J0103+3416,ELQS,,secondary,,
J010447.16+251422.1,16.19649533,25.2394518,17.499570000000002,BOK,161013,"Betsy Green, Jan-Torge Schindler",B&C ,QSO,QSO,3.16,J0104+2514,ELQS,,primary,,
J010637.63+123649.9,16.65723234,12.61360393,17.84819,VATT,151011,"Jennifer Kadowaki, Ya-Lin Wu, Jan-Torge Schindler",VATTSpec,STAR,MV,-999.0,csdbimg0015.0001.fits,,,,,
J010742.25+025653.2,16.92602828,2.9481439560000005,16.68806,VATT,161220,"Jan-Torge Schindler, Anna Patej",VATTSpec,STAR,STAR,-999.0,J0107+0256_a,ELQS,,secondary,,
J010827.24+280218.2,17.11350977,28.03842221,17.83733097,MMT,171020,Schindler,RedChannel,QSO,QSO,3.565,J0108+2802_a,,,primary,priority_1,old_priority_1
J010933.41+382015.6,17.38915712,38.33772648,18.44556886,MMT,171020,Schindler,RedChannel,QSO,QSO,3.72,J0109+3820,,,,priority_3,old_priority_3
J010934.84-080033.1,17.39518879,-8.009183442000001,14.627120000000001,VATT,151010,"Jennifer Kadowaki, Ya-Lin Wu, Jan-Torge Schindler",VATTSpec,STAR,CV,-999.0,csdbimg0003.fits,,,,,
J011304.65+330923.0,18.26907455,33.15656548,17.97531,VATT,161122,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,STAR,K,-999.0,J0113+3309,ELQS,,primary,,
J011532.44+252139.4,18.8852372,25.36101577,18.31255333,MMT,171021,Schindler,RedChannel,STAR,UNID,-999.0,J0115+2521,,,,,old_priority_3
J011550.14+262015.1,18.95891333,26.33751386,17.436870000000003,BOK,161013,"Betsy Green, Jan-Torge Schindler",B&C ,QSO,QSO,3.1,J0115+2620,ELQS,,primary,,
J011637.97+221147.3,19.15820169,22.19647414,17.47501,NOT,170825,Fynbo,-,QSO,QSO,2.79,J0116+2211,ELQS,,primary,,
J011647.16-250045.8,19.19654945,-25.01275231,18.31254416,SOAR,171008,"Schindler, Yue",GoodmanHTS,GALAXY,UNID,-999.0,J0116-2500,,,,,old_priority_3
J011711.57+115903.9,19.29849204,11.98427015,17.45836,MMT,151105,"Feige Wan, Jinyi Yang, Jan-Torge Schindler",RedChannelSpectrograph,STAR,MV,-999.0,nsQ0023.0001.fits,,,,,
J011723.37-084132.3,19.34737785,-8.69229871,17.29949,SOAR,180122,Schindler,GoodmanHTS,QSO,QSO,3.16,J0117-0841_a,,reobserved,primary,,
J011752.18+055124.1,19.46743337,5.856717259,17.81459,MMT,171021,Schindler,RedChannel,QSO,QSO,3.52,J0117+0551,,,primary,,
J011835.59+390459.2,19.64836074,39.08297187,17.92130367,MMT,171116,Schindler,RedChannel,QSO,QSO,3.0,J0118+3904_d,,,primary,,
J011852.25-094015.9,19.71775624,-9.67112994,17.98188817,SOAR,171008,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.495,J0118-0940,,,,priority_2,old_priority_2
J011915.40+305312.6,19.81413883,30.88687285,17.78592,VATT,171111,"Schindler, Huang",VattSpec,QSO,QSO,3.06,J0119+3053_a,,,primary,,
J012035.94-094632.1,20.14977612,-9.775610151,17.6317,SOAR,180123,Schindler,GoodmanHTS,QSO,QSO,2.99,J0120-0947_e,,reobserved,primary,,
J012202.05+042731.5,20.5085387,4.45875985,18.10333268,SOAR,171009,"Schindler, Yue",GoodmanHTS,GALAXY,UNID,-999.0,J0122+0427,,,,,old_priority_3
J012535.84+401425.5,21.39926473,40.24045652,17.661279999999998,MMT,171020,Schindler,RedChannel,QSO,QSO,3.055,J0125+4014,,,primary,,
J012546.75+211522.0,21.44484036,21.25613295,18.05531485,MMT,171021,Schindler,RedChannel,QSO,QSO,3.93,J0125+2115,,,primary,priority_3,old_priority_3
J012615.52+385712.5,21.56468328,38.95350015,17.51967,VATT,161122,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,NOTQSO,EMLines,-999.0,J0126+3857,ELQS,,secondary,,
J012630.63+083225.2,21.62762028,8.540375942999999,17.42411,BOK,161115,"Betsy Green, Jan-Torge Schindler, Yun-Hsin Huang",B&C,QSO,QSO,2.77,J0126+0832,ELQS,,secondary,,
J012646.09+212704.5,21.69208292,21.45125824,17.922639999999998,MMT,171021,Schindler,RedChannel,QSO,QSO,2.87,J0126+2127,,,primary,,
J012818.89-095700.4,22.07867984,-9.95012164,18.14399663,SOAR,171008,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.765,J0128-0957,,,,priority_3,old_priority_3
J012947.32-295235.1,22.44703224,-29.87629848,19.40430069,SOAR,180603,Schindler,GoodmanHTS,QSO,QSO,4.83,J0129-2952,Highz_Lukas,,,,
J012948.97-042149.6,22.45407656,-4.3637473,18.48131932,SOAR,171010,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.6,J0129-0421,,,,priority_4,old_priority_4
J012950.61+063845.8,22.4608928,6.646077835,18.990920000000003,MMT,151105,"Feige Wan, Jinyi Yang, Jan-Torge Schindler",RedChannelSpectrograph,NOTQSO,GALAXY,0.33,J0129+0638,ELQS,,secondary,,
J013223.20+184155.6,23.09668543,18.69879759,17.65130137,SOAR,171010,"Schindler, Yue",GoodmanHTS,QSO,BAL,3.72,J0132+1841_a,,,primary,priority_2,old_priority_2
J013338.98+334530.4,23.41231441,33.75868444,18.58236,MMT,151105,"Feige Wan, Jinyi Yang, Jan-Torge Schindler",RedChannelSpectrograph,STAR,MV,-999.0,nsQ0039.0001.fits,,,,,
J013349.30+094229.2,23.45534449,9.708167826,17.76541,MMT,171021,Schindler,RedChannel,QSO,QSO,2.93,J0133+0942,,,primary,,
J013350.32-034308.8,23.45970552,-3.719133353,18.68854,MMT,151201,"Qian Yang, Jan-Torge Schindler",RedChannelSpectrograph,NOTQSO,GALAXY,0.53,J0133-0343,ELQS,,secondary,,
J013415.37+302816.1,23.56411822,30.47117022,16.654239999999998,BOK,161115,"Betsy Green, Jan-Torge Schindler, Yun-Hsin Huang",B&C,NOTQSO,UNID,-999.0,J0134+3028,ELQS,,secondary,,
J013438.62-193206.2,23.66095939,-19.53508362,17.948439999999998,VATT,171111,"Schindler, Huang",VattSpec,QSO,QSO,3.12,J0134-1932,,,primary,,
J013539.29-212628.4,23.9137294,-21.44122046,18.17749977,SOAR,180603,Schindler,GoodmanHTS,QSO,QSO,4.91,J0135-2126,Highz_Lukas,,,,
J013624.53+152755.1,24.10222492,15.46529824,17.5097,BOK,161013,"Betsy Green, Jan-Torge Schindler",B&C ,QSO,QSO,3.3,J0136+1527,ELQS,Worseck found this one as well,primary,,
J013807.12+172414.8,24.5297472,17.40411026,17.84722,MMT,171021,Schindler,RedChannel,QSO,QSO,3.19,J0138+1724,,,primary,,
J013911.26-023133.8,24.79679531,-2.52601415,18.38060394,SOAR,171010,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.69,J0139-0231,,,,priority_4,old_priority_4
J014030.35+233711.4,25.12639867,23.61971581,18.16351757,MMT,171020,Schindler,RedChannel,NOTQSO,UNID,-999.0,J0140+2337,,,,priority_3,old_priority_3
J014046.36+364130.3,25.19316992,36.69172786,18.25254357,MMT,171021,Schindler,RedChannel,QSO,QSO,3.31,J0140+3641,,,,priority_4,old_priority_4
J014132.79+333424.6,25.38666174,33.57352715,18.72704,MMT,151105,"Feige Wan, Jinyi Yang, Jan-Torge Schindler",RedChannelSpectrograph,NOTQSO,STAR,-999.0,J0141+3334,ELQS,,secondary,,
J014317.52+312950.3,25.82332875,31.49640855,17.47691,VATT,161119,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,STAR,UNID,-999.0,J0143+3129,ELQS,,secondary,,
J014727.23-303114.6,26.86339476,-30.52078091,18.37997542,SOAR,171008,"Schindler, Yue",GoodmanHTS,GALAXY,UNID,0.24,J0147-3031,,,,,old_priority_3
J014844.79+250203.0,27.186695899999997,25.03415537,17.63936,NOT,170825,Fynbo,-,QSO,QSO,2.93,J0148+2502,ELQS,,primary,,
J014918.74+015722.6,27.3280995,1.95628113,17.429920000000003,VATT,171111,"Schindler, Huang",VattSpec,QSO,QSO,2.89,J0149+0156,,,primary,,
J015041.58-250846.4,27.67329767,-25.14620828,17.69814259,SOAR,171008,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.6,J0150-2508,,,,priority_2,old_priority_2
J015106.83-283933.8,27.7784976,-28.65937906,17.87070649,SOAR,171007,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.73,J0151-2839,,,,priority_1,old_priority_1
J015125.91+305440.4,27.85794626,30.91123699,17.52257,VATT,171111,"Schindler, Huang",VattSpec,QSO,QSO,3.14,J0151+3055,,,primary,,
J015254.96+245504.0,28.229030699999996,24.91778013,18.098229999999997,MMT,151119,"Qian Yang, Xiaohui Fan",RedChannelSpectrograph,STAR,MV,-999.0,ssjts19086.fits,,,,,
J015316.59+085121.5,28.31913101,8.855985582999999,18.88164,MMT,151201,"Qian Yang, Jan-Torge Schindler",RedChannelSpectrograph,NOTQSO,STAR,-999.0,J0153+0851,ELQS,,secondary,,
J015558.27-192849.0,28.99283108,-19.48028393,17.36263,BOK,161014,"Betsy Green, Jan-Torge Schindler",B&C ,QSO,QSO,3.65,J0155-1928,ELQS,reobserve,primary,,
J015636.03+044528.8,29.15009685,4.758044309,17.481720000000003,VATT,171111,"Schindler, Huang",VattSpec,QSO,QSO,2.99,J0156+0445,,,primary,,
J015900.67-032737.2,29.75281619,-3.4603528289999996,17.6688,MMT,171021,Schindler,RedChannel,QSO,QSO,2.9,J0159-0327,,,primary,,
J020016.24-065209.1,30.06771915,-6.869227847,16.7436,VATT,161218,"Jan-Torge Schindler, Anna Patej",VATTSpec,NOTQSO,UNID,-999.0,J0200-0652_comb,ELQS,,secondary,,
J020024.32+124314.9,30.10087063,12.72064242,17.40009,VATT,161123,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,STAR,K,-999.0,J0200+1243,ELQS,,secondary,,
J020041.28-301245.4,30.17196951,-30.21260655,18.11558098,SOAR,171008,"Schindler, Yue",GoodmanHTS,GALAXY,active,0.1,J0200-3012,,,,,old_priority_3
J020158.77+371745.0,30.49490251,37.29596363,18.15538954,MMT,171020,Schindler,RedChannel,QSO,QSO,4.08,J0201+3717,,,,priority_3,old_priority_3
J020159.43+322518.4,30.49709931,32.42169088,18.92742,MMT,151201,"Qian Yang, Jan-Torge Schindler",RedChannelSpectrograph,STAR,KV,-999.0,ncsQ0088.fits,,,,,
J020256.07+312620.8,30.73366016,31.43914237,17.66248,NOT,170825,Fynbo,-,QSO,QSO,3.06,J0202+3126,ELQS,,primary,,
J020453.15+210748.9,31.22143887,21.13025316,17.51665,BOK,161014,"Betsy Green, Jan-Torge Schindler",B&C ,QSO,QSO,3.17,J0204+2107,ELQS,,secondary,,
J020459.71-020808.4,31.24883142,-2.135663837,17.28012,VATT,161123,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,NOTQSO,UNID,-999.0,J0204-0208,ELQS,,secondary,,
J020825.26+170548.8,32.10522586,17.09692006,17.65841848,SOAR,171010,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.3,J0208+1705,,,,priority_3,old_priority_3
J020838.40+170652.3,32.16002287,17.11454694,17.02156,VATT,161123,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,QSO,QSO,3.51,J0208+1706,ELQS,,primary,,
J020959.28+244847.3,32.49700002,24.81316274,17.7445,MMT,171021,Schindler,RedChannel,QSO,QSO,3.105,J0209+2448,,,primary,,
J021059.68+035757.5,32.74916998,3.965891951,17.47041,VATT,161123,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,STAR,K,-999.0,J0210+0357,ELQS,,primary,,
J021118.29+145210.6,32.82623014,14.8695649,17.865489999999998,VATT,151011,"Jennifer Kadowaki, Ya-Lin Wu, Jan-Torge Schindler",VATTSpec,QSO,QSO,3.58,J0211+1452,ELQS,reobserve,primary,,
J021119.80-195943.0,32.83250074,-19.99528136,17.93701775,SOAR,171010,"Schindler, Yue",GoodmanHTS,QSO,BAL,2.45,J0211-1959_a,,,,priority_1,old_priority_1
J021148.80+325903.3,32.95259104,32.984595899999995,18.72165,MMT,151105,"Feige Wan, Jinyi Yang, Jan-Torge Schindler",RedChannelSpectrograph,STAR,MV,-999.0,nsQ0041.0001.fits,,,,,
J021220.40+091749.0,33.08507118,9.29698724,17.63558099,SOAR,171008,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.0,J0212+0917,,,,priority_2,old_priority_2
J021304.73+160514.3,33.26906839,16.08701137,15.800289999999999,BOK,161115,"Betsy Green, Jan-Torge Schindler, Yun-Hsin Huang",B&C,STAR,G,-999.0,J0213+1605,ELQS,,secondary,,
J021421.63+090406.9,33.59014472,9.06862606,17.61174592,SOAR,171009,"Schindler, Yue",GoodmanHTS,QSO,BAL,3.56,J0214+0904_b,,,,priority_1,old_priority_1
J021446.07+153229.1,33.69198452,15.54141943,18.64039,VATT,151011,"Jennifer Kadowaki, Ya-Lin Wu, Jan-Torge Schindler",VATTSpec,GALAXY,UNID,-999.0,csdbimg0020.0001.fits,,,,,
J021621.36+231028.1,34.089017299999995,23.17462471,17.942729999999997,MMT,171021,Schindler,RedChannel,STAR,K,-999.0,J0216+2310,,,primary,,
J021642.65+120508.1,34.17778074,12.0856134,18.28743442,SOAR,171009,"Schindler, Yue",GoodmanHTS,STAR,UNID,-999.0,J0216+1205,,,,,old_priority_3
J021829.58+224014.3,34.62324883,22.67065867,17.64104853,MMT,171020,Schindler,RedChannel,QSO,QSO,3.135,J0218+2240,,,primary,priority_3,old_priority_3
J021935.80+190255.1,34.89915064,19.04865696,17.52273,VATT,161122,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,QSO,QSO,2.73,J0219+1902,ELQS,,secondary,,
J021937.29+030259.5,34.90539865,3.049873254,18.9685,MMT,151119,"Qian Yang, Xiaohui Fan",RedChannelSpectrograph,GALAXY,E+A?,-999.0,ssjts4002.fits,,,,,
J021948.82+344719.7,34.953462200000004,34.78878655,17.73776057,MMT,171020,Schindler,RedChannel,QSO,QSO,3.16,J0219+3447,,,,priority_3,old_priority_3
J022028.02+073118.8,35.11675975,7.521930241000001,18.11884,VATT,171111,"Schindler, Huang",VattSpec,QSO,QSO,3.16,J0220+0731_a,,,primary,priority_4,old_priority_4
J022123.90-141654.8,35.34964387,-14.28189404,17.79689162,SOAR,180124,Schindler,GoodmanHTS,QSO,QSO,3.65,J0221-1416_f,,reobserved,,priority_1,old_priority_1
J022126.88-282251.2,35.36203745,-28.38092069,18.30514542,SOAR,171008,"Schindler, Yue",GoodmanHTS,QSO,BAL,3.48,J0221-2822,,,,priority_3,old_priority_3
J022325.10+221211.7,35.8545827,22.2032695,18.42752709,MMT,171021,Schindler,RedChannel,QSO,QSO,3.815,J0223+2212,,,,priority_4,old_priority_4
J022632.80+202748.1,36.63664387,20.46339186,18.09909,VATT,171109,"Schindler, Huang",VattSpec,QSO,QSO,2.86,J0226+2027_a,,,primary,,
J022737.99+352136.2,36.90854248,35.36042292,17.88682312,MMT,171020,Schindler,RedChannel,NOTQSO,UNID,-999.0,J0227+3521,,blue edge might be bad,,priority_2,old_priority_2
J022742.94-173121.4,36.92891403,-17.52265011,17.61777,MMT,171021,Schindler,RedChannel,QSO,BAL,2.3,J0227-1731,,,primary,,
J022840.58+352617.6,37.16911111,35.43822048,17.51571911,MMT,171020,Schindler,RedChannel,QSO,QSO,3.38,J0228+3526,,,,priority_2,old_priority_2
J023142.08+224404.0,37.92542522,22.73443213,18.655089999999998,VATT,171109,"Schindler, Huang",VattSpec,NOTQSO,UNID,2.79,J0231+2244_a,,,,priority_3,old_priority_3
J023149.70-111521.0,37.95728254,-11.2557808,18.31851217,SOAR,171010,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.43,J0231-1115,,,,priority_4,old_priority_4
J023424.87+234019.3,38.60360986,23.67205999,17.37275,VATT,161122,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,QSO,QSO,2.82,J0234+2340,ELQS,,primary,,
J023434.91+051134.5,38.645484,5.19299215,17.653660000000002,VATT,171110,"Schindler, Huang",VattSpec,QSO,QSO,2.82,J0234+0511,,,primary,,
J023500.45+023829.2,38.75186317,2.64145921,18.11272253,SOAR,180124,Schindler,GoodmanHTS,QSO,NOT_Z_TARGET,0.65,J0235+0238_e,,,,priority_4,old_priority_4
J023551.44-175725.7,38.96434773,-17.95713027,18.15965841,SOAR,171009,"Schindler, Yue",GoodmanHTS,QSO,BAL,3.595,J0235-1757,,,,priority_3,old_priority_3
J023710.97+022437.5,39.29616141,2.410163402,17.11494,VATT,161122,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,STAR,K,-999.0,J0237+0224,ELQS,,primary,,
J024020.77-170016.5,40.08656297,-17.00456976,17.99955659,SOAR,171007,"Schindler, Yue",GoodmanHTS,QSO,BAL,3.26,J0240-1700,,,primary,priority_3,old_priority_3
J024021.70+264450.6,40.0904511,26.74734872,18.44863617,MMT,171021,Schindler,RedChannel,GALAXY,UNID,-999.0,J0240+2644,,,,,old_priority_3
J024039.50+081059.3,40.16460476,8.18315616,17.99653313,SOAR,171008,"Schindler, Yue",GoodmanHTS,GALAXY,UNID,0.07,J0240+0810,,,,,old_priority_2
J024123.49-070512.3,40.3479118,-7.086767428,17.41613,VATT,161123,"Jan-Torge Schindler, Yun-Hsin Huang",VATTSpec,QSO,BAL_CHECKZ,2.77,J0241-0705,ELQS,,secondary,,
J024151.49-071843.7,40.46474975,-7.312200311000001,18.82636,MMT,151119,"Qian Yang, Xiaohui Fan",RedChannelSpectrograph,UNID,UNID,-999.0,ssjts370.fits,,,,,
J024304.42+285408.3,40.76843761,28.90232367,16.978620000000003,MMT,151201,"Qian Yang, Jan-Torge Schindler",RedChannelSpectrograph,STAR,UNID,-999.0,ncsQ0095.fits,,,,,
J024329.12+035559.5,40.87132586,3.933196643,17.64953,VATT,171110,"Schindler, Huang",VattSpec,QSO,QSO,3.33,J0243+0355,,,primary,,
J024401.84-013403.9,41.00769066,-1.567717204,17.96924,VATT,151011,"Jennifer Kadowaki, Ya-Lin Wu, Jan-Torge Schindler",VATTSpec,QSO,QSO,4.03,csdbimg0022.0001.fits,,,,,
J024526.49+371007.3,41.36020608,37.16870472,17.66746896,VATT,171111,"Schindler, Huang",VattSpec,QSO,QSO,3.56,J0245+3710_a,,,,priority_1,old_priority_1
J024529.48+034659.9,41.3728504,3.78324596,17.79232584,SOAR,171009,"Schindler, Yue",GoodmanHTS,NOTQSO,UNID,0.21,J0245+0346,,,,,old_priority_2
J024847.35-051415.1,42.19734966,-5.237566964,17.48184,BOK,161014,"Betsy Green, Jan-Torge Schindler",B&C ,QSO,QSO,3.51,J0248-0514,ELQS,,primary,,
J024932.66+275925.1,42.38608568,27.99030527,18.22338878,MMT,171116,Schindler,RedChannel,QSO,BAL,3.02,J0249+2759_a,,,,priority_4,old_priority_4
J025153.43+252602.0,42.97265111,25.43389648,17.78463068,MMT,171116,Schindler,RedChannel,STAR,WEIRD,-999.0,J0251+2526_c,,,,priority_1,old_priority_1
J025204.49+201407.9,43.01885645,20.23559862,17.86438,BOK,161014,"Betsy Green, Jan-Torge Schindler",B&C ,UNID,UNID,3.16,J0252+2014,ELQS,,primary,,
J025221.08-052425.5,43.08785196,-5.4070976989999995,17.18892,VATT,161219,"Jan-Torge Schindler, Anna Patej",VATTSpec,QSO,QSO,3.1,J0252-0524_comb,ELQS,,secondary,,
J025250.98+015229.3,43.21242599,1.874801947,18.99677,VATT,151011,"Jennifer Kadowaki, Ya-Lin Wu, Jan-Torge Schindler",VATTSpec,STAR,MV,-999.0,csdbimg0024.0001.fits,,,,,
J025337.42-185342.7,43.40583833,-18.89508773,18.47222923,SOAR,171009,"Schindler, Yue",GoodmanHTS,GALAXY,UNID,-999.0,J0253-1854,,,,,old_priority_3
J025529.66+122826.3,43.87363038,12.47401606,17.49516651,SOAR,171010,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.87,J0255+1228,,,,priority_1,old_priority_1
J025647.28+290241.9,44.19705558,29.045003100000002,16.74557,MMT,151201,"Qian Yang, Jan-Torge Schindler",RedChannelSpectrograph,NOTQSO,UNID,-999.0,J0256+2902,ELQS,reobserve,secondary,,
J025721.09+153323.1,44.33789503,15.55641297,17.30375755,SOAR,171010,"Schindler, Yue",GoodmanHTS,QSO,QSO,3.31,J0257+1533,,,,priority_3,old_priority_3
