,wise_designation,wise_ra,wise_dec,wise_mag_w1,wise_sigmag_w1,wise_mag_w2,wise_sigmag_w2,wise_mag_w3,wise_sigmag_w3,wise_mag_w4,wise_sigmag_w4,tmass_j,tmass_j_sigma,tmass_h,tmass_h_sigma,tmass_k,tmass_k_sigma,ps_ra,ps_dec,ps_objid,ps_mag_g,ps_mag_r,ps_mag_i,ps_mag_z,ps_mag_y,ps_magerr_g,ps_magerr_r,ps_magerr_i,ps_magerr_z,ps_magerr_y,gaia_id,gaia_ra,gaia_dec,gaia_parallax,gaia_parallax_err,gaia_parallax_over_err,gaia_pmra,gaia_pmra_err,gaia_pmdec,gaia_pmdec_err,gaia_astrometric_excess_noise,gaia_meanmag_g,gaia_meanmag_bp,gaia_meanmag_rp,gaia_meanmagerr_g,gaia_meanmagerr_rp,gaia_meanmagerr_bp,gaia_bprp_excess_factor,pm_abs,gaia_bp_rp,l,b,ebv
24,J094302.58+174630.5,145.7607585,17.775159,14.147,0.045,13.815,0.058,10.823,0.146,8.124,-9999.0,16.258,0.113,15.972,0.233,15.32,0.177,145.76109146660554,17.77452065667907,139513422743274,20.40583,19.20242,18.332478,18.014019,17.801733,0.021153037,0.0105253775,0.015330457,0.020250482,0.01640381,5128016678831034000,145.7610900009401,17.774517751109936,0.6158834622863476,0.5592283364079027,1.1013094,-8.979346533414367,0.7914923338259314,-6.147625860013021,0.6906826979183418,0.0,19.093563,20.00954,17.896189,0.00513875706383,0.0214392283162,0.116558116348,1.5987958,118.42196788184144,2.1133518,214.89452925846956,45.735904533869835,0.02471269
25,J181625.23+404135.8,274.1051395,40.6933024,5.904,0.113,5.343,0.053,4.856,0.014,4.364,0.027,7.037,0.032,6.18,0.017,5.855,0.016,274.10518153300626,40.69327374022239,256164734478455,13.418497,13.443925,10.194574,10.98877,9.579974,0.0033373833,0.03032875,0.026256884,0.41423035,0.05274662,-8966526120606247561,274.1051791892933,40.69329188522773,0.42819571284576263,0.08786348332484928,4.8734207,-0.9341876065855572,0.18282959936271262,-1.3066286328387253,0.15018164006450382,0.36201813542124156,11.763953,14.5218525,10.067832,0.0261717766871,0.074213119252,0.302575479206,2.0895655,2.5799848684520486,4.4540205,68.08259188172632,23.578780552204766,0.031537388
26,J204958.10+031928.4,312.492084,3.3245634,5.857,0.109,5.236,0.068,4.057,0.013,3.344,0.019,7.771,0.024,6.853,0.033,6.405,0.018,312.4920015286602,3.324527161996561,78404628037129,13.643101,12.122542,10.002308,11.161426,,0.0010378836,0.0024547577,0.013810635,0.0011443279,,-4949385621735970507,312.4920002627648,3.3245255576169996,0.7382416635041897,0.0893923095280352,8.258447,-0.3203996186147697,0.14308979183676696,-8.06348283402174,0.1030981954788699,0.2539528944808482,10.875003,12.961023,9.596463,0.00934011015079,0.0262045194162,0.0430634095128,1.4903985,65.12241133017176,3.3645601,50.617146859156676,-24.38443737770503,0.094609305
27,J160305.23+465951.0,240.7718278,46.9975265,14.062,0.026,13.748,0.029,11.44,0.092,9.006,0.31,16.651,0.117,15.816,0.113,15.511,0.169,240.7708480573832,46.997145585008475,282767761928157,19.953386,18.79618,18.08258,17.74975,17.582605,0.013470516,0.0059000417,0.003482517,0.003937054,0.0090562925,7878554966875450930,240.7708467431886,46.99714456732575,0.9278049241922048,0.18154696963921285,5.1105504,-4.371413162286504,0.4210371779343241,-6.703901906146686,0.3678586136216794,0.4703113788401796,18.693733,19.644161,17.715982,0.00249248304894,0.010089331739,0.0298864838121,1.3539081,64.05155380264885,1.9281788,74.08803464828935,47.75973223856973,0.016409459
28,J090056.91+612327.3,135.2371654,61.3909225,14.393,0.028,14.056,0.039,11.534,0.199,8.852,-9999.0,16.332,0.111,15.533,0.159,15.087,0.119,135.2367665067483,61.39096154158869,326670917596116,20.18302,19.606234,18.60747,18.344254,18.00624,0.031976704,0.020389967,0.041114282,0.015151586,0.03145845,7828610750695344512,135.23670816464082,61.39095212582786,0.7376278505717192,0.515357911988865,1.4312924,-17.67676473373756,0.7880912661536976,-19.335301151215006,0.7082524580631473,0.7222204696752504,19.807386,20.060179,17.959417,0.00711902213857,0.019626289671,0.0545372870321,2.9176228,686.3218820600842,2.1007614,154.25880306542228,38.94055444416124,0.06659273
29,J085454.06+641003.4,133.7252648,64.1676253,14.097,0.099,13.544,0.089,12.032,0.481,8.92,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,133.72464898056117,64.16752659042025,326597903160116,,19.410582,18.524033,18.130291,17.770939,,0.0163663,0.010353339,0.022036968,0.03496662,7990652376350490732,133.72464772709944,64.16752758909847,-0.08494297299706632,0.407667288233522,-0.20836347,-9.821156505964009,0.3478595057257903,-6.906440456393543,0.6375919352237394,0.7262634814499583,19.263952,20.177946,18.056475,0.00339243928043,0.0163765922213,0.0575200401521,1.6113708,144.15403489234862,2.1214714,151.07885151613834,37.543992535960385,0.10634901
30,J155505.81-113409.0,238.7742345,-11.5691902,13.391,0.067,12.759,0.03,9.935,0.057,8.074,0.266,15.63,0.077,15.038,0.087,14.3,0.071,238.77374939519024,-11.569200862013385,426881094560229,,19.571163,18.609083,18.139997,17.897905,,0.023869319,0.007880473,0.013203117,0.01229052,4614817427543300741,238.77374634509178,-11.569199788576181,-0.0511872390881074,0.36535860893484307,-0.14010136,-3.5228886156119694,1.075561538815036,-1.9177551550214331,0.5732938197086235,0.43811421929228217,19.2845,20.387209,18.145758,0.00288728428274,0.0344111185187,0.0902948035599,1.4814957,16.0885290326197,2.2414513,358.1210731871645,31.008572293678018,0.26749918
31,J004641.61+063221.9,11.673375,6.5394414,14.067,0.028,13.635,0.037,10.814,0.152,8.173,-9999.0,16.131,0.122,15.516,0.14,15.018,0.151,11.673763875622782,6.539296992408062,43546673494027,20.459019,19.265438,18.220957,17.973742,17.85066,0.036429763,0.059046295,0.025885317,0.023895603,0.018483618,-3303196812629761847,11.673803100644033,6.539315226694226,0.2621434109859753,0.44759444628741835,0.5856717,7.34532151248349,1.2570127973472713,-12.709256664938536,0.5956192689734724,0.9564891744077232,19.481133,19.786234,17.783936,0.00342180368187,0.0178030670323,0.0750425628443,2.58733,215.47895309703733,2.0022984,120.80785293698807,-56.31278636731834,0.034570985
32,J085735.50+395958.9,134.3979243,39.9997064,15.601,0.046,15.285,0.104,12.182,-9999.0,8.888,-9999.0,16.696,0.126,16.475,0.244,15.904,0.214,134.3979665391443,39.99991198314106,247862562747597,,,18.531881,20.065577,,,,0.007959366,0.14437467,,6874850384297372011,134.39796677576177,39.9999112064509,0.6676759202826485,0.40369971414640404,1.6538925,1.323358567465739,0.5567199721673748,-6.773452576900262,0.44442980717815195,1.2074493652745701,19.234379,20.184975,18.117607,0.00349897695514,0.0204438329652,0.0565421297253,1.4970721,47.63093770960177,2.0673676,182.121738655624,40.52014818595473,0.02058939
33,J013307.33+304543.1,23.2805459,30.7619769,12.582,0.024,12.068,0.024,9.926,0.047,8.612,0.338,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,23.280541359517105,30.761989260779877,200755361391346,19.741024,18.043488,16.796057,16.4963,16.211426,0.017096138,0.011876384,0.003655572,0.01656303,0.019313464,-5267522714163146963,23.28054213503111,30.76198930550807,-0.3350800053738987,0.15419765089772458,-2.1730552,0.035826796305230904,0.35829541567821854,0.16308518177531534,0.26355854418311964,0.0,17.820982,19.013155,16.609,0.0154373106575,0.0394848045788,0.0590237766982,1.5453458,0.027880335848184154,2.4041557,133.40827408559494,-31.260297880638213,0.04186846
