Name,RA_deg,DEC_deg,mag,offset_name,offset_ra,offset_dec,offset_mag,separation,pos_angle,dra_offset,ddec_offset
J073950.838+264530.179,114.961825,26.7583831,21.491886,J073950.838+264530.179_offset_B,114.95284602972367,26.761359405210264,16.820635,30.787062983591344,110.36460319262846,28.86278399101136,-10.713680422550192
J074444.791+235251.153,116.186631,23.8808758,20.732376,J074444.791+235251.153_offset_B,116.18276225235772,23.88228901930581,17.453247,13.713707081229229,111.77563892267226,12.735146884964566,-5.087415430285256
J075143.772+265310.881,117.932383,26.8863557,21.17532,J075143.772+265310.881_offset_B,117.92562708677283,26.87800518325139,17.725271,37.07162525940209,35.81324936026134,21.69228424065541,30.062438476058773
J075406.355+275437.431,118.5264797,27.9103975,21.252041,J075406.355+275437.431_offset_A,118.536099818309,27.90928042593227,17.777721,30.86724918513601,277.4881766504113,-30.60400634830029,4.022669239435611
J075810.333+232224.430,119.5430533,23.3734529,21.305172,J075810.333+232224.430_offset_A,119.5395947053238,23.37720943836604,18.194746,17.706184192516062,139.79743364203722,11.429198467189943,-13.523401245406587
J080708.159+235154.670,121.7839951,23.8651862,21.356543,J080708.159+235154.670_offset_A,121.77248592864512,23.85931679577228,18.29747,43.384619824074164,60.85174516238052,37.8904922988335,21.131394550544865
J082825.529+003622.881,127.1063701,0.6063557,21.019175,J082825.529+003622.881_offset_B,127.09550543783776,0.6082220994105036,19.065414,39.6835415311182,99.74796439938886,39.11059355143616,-6.718998514702454
J083500.223-012109.555,128.7509282,-1.3526542,21.527088,J083500.223-012109.555_offset_B,128.74172295490507,-1.3541960615912194,16.353376,33.59141489162625,80.48883447428547,33.12964779815566,5.550638833115107
J083705.499+000436.995,129.2729133,0.0769431,21.425818,J083705.499+000436.995_offset_A,129.26833673290292,0.074873621336565,17.153173,18.081776005354676,65.66796275178876,16.475626704065203,7.450124048240886
J083845.653-014523.626,129.6902208,-1.7565628,20.505322,J083845.653-014523.626_offset_B,129.6954275912696,-1.7601582238862006,19.711405,22.771877534508562,304.6386200390378,-18.73564033480383,12.943499841816989
J084259.384-013135.701,130.7474334,-1.5265835,21.307257,J084259.384-013135.701_offset_A,130.7506616113356,-1.518722622048789,19.556763,30.590975853940765,202.31923647813338,-11.617436100993174,-28.29916929846336
J085037.729+010301.747,132.6572026,1.0504854,21.740502,J085037.729+010301.747_offset_A,132.6615775739474,1.0362316181276894,17.911484,53.67554706975444,342.93966073000377,-15.747259596487496,51.31362561304141
J085339.277-005204.026,133.4136561,-0.8677851,21.34858,J085339.277-005204.026_offset_A,133.41532168274156,-0.8792957227504925,17.00044,41.86971130721222,351.76740065519243,-5.995410274104327,41.43824056447595
J085428.106+290833.104,133.6171092,29.1425288,20.71449,J085428.106+290833.104_offset_A,133.6285735899035,29.142015792186168,19.272562,36.09461555804661,272.9356854818525,-36.0472468883388,1.8485843459826208
J085617.484+264026.620,134.0728517,26.6740612,21.032263,J085617.484+264026.620_offset_A,134.07827217919493,26.674708183643027,16.479322,17.591791855383562,262.3929552994332,-17.43697127056016,-2.328770835530686
J090107.142-010135.557,135.2797577,-1.0265437,20.81259,J090107.142-010135.557_offset_A,135.2750373970369,-1.0268932309384808,19.508354,17.036894133673947,85.7644322413128,16.990363320520494,1.258298835591927
J090500.587+021433.760,136.2524455,2.2427111,21.46704,J090500.587+021433.760_offset_A,136.24576205282045,2.247147283999893,18.62196,28.862853899062458,123.59463301333209,24.041980188252392,-15.970207418228878
J095415.180-011754.786,148.5632501,-1.2985516,20.288416,J095415.180-011754.786_offset_A,148.54922425340953,-1.2984461853923457,18.11366,50.48150771102919,90.4308815616616,50.48008022854438,-0.3796325980659919
J095928.143+065144.225,149.8672618,6.8622846,21.151047,J095928.143+065144.225_offset_A,149.86241969873527,6.87085474109167,19.088625,35.37503804527624,150.70972110753124,17.306688641388284,-30.852420443330523
J102047.400+042946.612,155.1975004,4.496281,21.055714,J102047.400+042946.612_offset_B,155.19463922817786,4.504809065882771,18.804138,32.372749781326,161.50654198667038,10.268518971224577,-30.701017040486487
J104654.886+015807.106,161.7286907,1.9686405,21.373766,J104654.886+015807.106_offset_A,161.72297531639475,1.9715896532031367,15.15563,23.14229083849548,117.30756427186398,20.56323697887501,-10.61691624610347
J105745.991-034905.170,164.4416288,-3.8181027,21.61671,J105745.991-034905.170_offset_A,164.4318190623062,-3.81501693766522,17.84567,36.94633678163854,107.4983209909135,35.23667324498559,-11.10894510760012
J110039.295+023721.243,165.1637309,2.6225675,20.538475,J110039.295+023721.243_offset_B,165.15711272912722,2.615108575223652,18.015247,35.88178034076207,41.5522003402158,23.80046119600261,26.85219191210322
J110610.505+022803.082,166.5437702,2.4675228,21.844202,J110610.505+022803.082_offset_A,166.5347094672355,2.4731358119788345,18.890024,38.344692108173305,121.80136131152362,32.588393651804445,-20.206731934217373
J111125.153+064053.984,167.854804,6.6816622,20.75224,J111125.153+064053.984_offset_B,167.84835301217385,6.673840395865386,16.641792,36.399744632456496,39.32221274533523,23.06582059498711,28.158645792932973
J111403.001-014452.996,168.5125025,-1.7480545,21.316284,J111403.001-014452.996_offset_A,168.50751574776902,-1.7529192924939692,19.380352,25.07386413264882,45.6959796561883,17.94395358053325,17.513229091661717
J111458.782-022438.591,168.7449254,-2.4107198,21.640625,J111458.782-022438.591_offset_A,168.72961636821464,-2.4144762741504167,17.627535,56.699971511506114,76.20191777215184,55.06373874864486,13.522997033666558
J111830.847+001517.769,169.6285301,0.2549358,21.657366,J111830.847+001517.769_offset_A,169.63041712380974,0.2495333533021221,16.428703,20.60106728753525,340.7463490533434,-6.793218499369259,19.448808599557765
J113121.141-005256.601,172.8380889,-0.8823891,21.507273,J113121.141-005256.601_offset_A,172.8319531871879,-0.8727765767030533,19.800848,41.05243144495715,147.45283895107227,22.085947021578388,-34.60510188225798
